2024-04-10 14:03:55 startup archives install
2024-04-10 14:04:01 status half-configured libunistring2:amd64 1.0-1
2024-04-10 14:04:01 status installed libunistring2:amd64 1.0-1
2024-04-10 14:04:01 configure libidn2-0:amd64 2.3.2-2build1 <none>
2024-04-10 14:04:01 status unpacked libidn2-0:amd64 2.3.2-2build1
2024-04-10 14:04:01 status half-configured libidn2-0:amd64 2.3.2-2build1
2024-04-10 14:04:01 status installed libidn2-0:amd64 2.3.2-2build1
2024-04-10 14:04:01 configure ubuntu-keyring:all 2021.03.26 <none>
2024-04-10 14:04:01 status unpacked ubuntu-keyring:all 2021.03.26
2024-04-10 14:04:01 status half-configured ubuntu-keyring:all 2021.03.26
2024-04-10 14:04:01 status installed ubuntu-keyring:all 2021.03.26
2024-04-10 14:04:01 configure libseccomp2:amd64 2.5.3-2ubuntu2 <none>
2024-04-10 14:04:01 status unpacked libseccomp2:amd64 2.5.3-2ubuntu2
2024-04-10 14:04:01 status half-configured libseccomp2:amd64 2.5.3-2ubuntu2
2024-04-10 14:04:01 status installed libseccomp2:amd64 2.5.3-2ubuntu2
2024-04-10 14:04:01 configure libnettle8:amd64 3.7.3-1build2 <none>
2024-04-10 14:04:01 status unpacked libnettle8:amd64 3.7.3-1build2
2024-04-10 14:04:01 status half-configured libnettle8:amd64 3.7.3-1build2
2024-04-10 14:04:01 status installed libnettle8:amd64 3.7.3-1build2
2024-04-10 14:04:01 configure libffi8:amd64 3.4.2-4 <none>
2024-04-10 14:04:01 status unpacked libffi8:amd64 3.4.2-4
2024-04-10 14:04:01 status half-configured libffi8:amd64 3.4.2-4
2024-04-10 14:04:01 status installed libffi8:amd64 3.4.2-4
2024-04-10 14:04:01 configure gpgv:amd64 2.2.27-3ubuntu2 <none>
2024-04-10 14:04:01 status unpacked gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:01 status half-configured gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:01 status installed gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:01 configure libxxhash0:amd64 0.8.1-1 <none>
2024-04-10 14:04:01 status unpacked libxxhash0:amd64 0.8.1-1
2024-04-10 14:04:01 status half-configured libxxhash0:amd64 0.8.1-1
2024-04-10 14:04:01 status installed libxxhash0:amd64 0.8.1-1
2024-04-10 14:04:01 configure libtasn1-6:amd64 4.18.0-4build1 <none>
2024-04-10 14:04:01 status unpacked libtasn1-6:amd64 4.18.0-4build1
2024-04-10 14:04:01 status half-configured libtasn1-6:amd64 4.18.0-4build1
2024-04-10 14:04:01 status installed libtasn1-6:amd64 4.18.0-4build1
2024-04-10 14:04:01 configure libstdc++6:amd64 12-20220319-1ubuntu1 <none>
2024-04-10 14:04:01 status unpacked libstdc++6:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:01 status half-configured libstdc++6:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:01 status installed libstdc++6:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:01 configure libhogweed6:amd64 3.7.3-1build2 <none>
2024-04-10 14:04:01 status unpacked libhogweed6:amd64 3.7.3-1build2
2024-04-10 14:04:01 status half-configured libhogweed6:amd64 3.7.3-1build2
2024-04-10 14:04:01 status installed libhogweed6:amd64 3.7.3-1build2
2024-04-10 14:04:01 configure libapt-pkg6.0:amd64 2.4.5 <none>
2024-04-10 14:04:01 status unpacked libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:01 status half-configured libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:01 status installed libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:01 configure libp11-kit0:amd64 0.24.0-6build1 <none>
2024-04-10 14:04:01 status unpacked libp11-kit0:amd64 0.24.0-6build1
2024-04-10 14:04:01 status half-configured libp11-kit0:amd64 0.24.0-6build1
2024-04-10 14:04:01 status installed libp11-kit0:amd64 0.24.0-6build1
2024-04-10 14:04:01 configure libgnutls30:amd64 3.7.3-4ubuntu1 <none>
2024-04-10 14:04:01 status unpacked libgnutls30:amd64 3.7.3-4ubuntu1
2024-04-10 14:04:01 status half-configured libgnutls30:amd64 3.7.3-4ubuntu1
2024-04-10 14:04:01 status installed libgnutls30:amd64 3.7.3-4ubuntu1
2024-04-10 14:04:01 configure apt:amd64 2.4.5 <none>
2024-04-10 14:04:01 status unpacked apt:amd64 2.4.5
2024-04-10 14:04:01 status half-configured apt:amd64 2.4.5
2024-04-10 14:04:01 status installed apt:amd64 2.4.5
2024-04-10 14:04:01 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2024-04-10 14:04:01 status half-configured libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:01 status installed libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:03 startup archives unpack
2024-04-10 14:04:03 upgrade adduser:all 3.118ubuntu5 3.118ubuntu5
2024-04-10 14:04:03 status half-configured adduser:all 3.118ubuntu5
2024-04-10 14:04:03 status unpacked adduser:all 3.118ubuntu5
2024-04-10 14:04:03 status half-installed adduser:all 3.118ubuntu5
2024-04-10 14:04:03 status unpacked adduser:all 3.118ubuntu5
2024-04-10 14:04:03 startup packages configure
2024-04-10 14:04:03 configure adduser:all 3.118ubuntu5 <none>
2024-04-10 14:04:03 status unpacked adduser:all 3.118ubuntu5
2024-04-10 14:04:03 status half-configured adduser:all 3.118ubuntu5
2024-04-10 14:04:03 status installed adduser:all 3.118ubuntu5
2024-04-10 14:04:03 startup packages configure
2024-04-10 14:04:05 startup archives unpack
2024-04-10 14:04:05 upgrade apt:amd64 2.4.5 2.4.5
2024-04-10 14:04:05 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:05 status half-configured apt:amd64 2.4.5
2024-04-10 14:04:05 status unpacked apt:amd64 2.4.5
2024-04-10 14:04:05 status half-installed apt:amd64 2.4.5
2024-04-10 14:04:05 status unpacked apt:amd64 2.4.5
2024-04-10 14:04:05 startup packages configure
2024-04-10 14:04:05 configure apt:amd64 2.4.5 <none>
2024-04-10 14:04:05 status unpacked apt:amd64 2.4.5
2024-04-10 14:04:05 status half-configured apt:amd64 2.4.5
2024-04-10 14:04:06 status installed apt:amd64 2.4.5
2024-04-10 14:04:06 startup packages configure
2024-04-10 14:04:06 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2024-04-10 14:04:06 status half-configured libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:06 status installed libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:07 startup archives unpack
2024-04-10 14:04:07 upgrade base-files:amd64 12ubuntu4 12ubuntu4
2024-04-10 14:04:07 status half-configured base-files:amd64 12ubuntu4
2024-04-10 14:04:07 status unpacked base-files:amd64 12ubuntu4
2024-04-10 14:04:07 status half-installed base-files:amd64 12ubuntu4
2024-04-10 14:04:07 status unpacked base-files:amd64 12ubuntu4
2024-04-10 14:04:07 startup packages configure
2024-04-10 14:04:07 configure base-files:amd64 12ubuntu4 <none>
2024-04-10 14:04:07 status unpacked base-files:amd64 12ubuntu4
2024-04-10 14:04:07 status half-configured base-files:amd64 12ubuntu4
2024-04-10 14:04:08 status installed base-files:amd64 12ubuntu4
2024-04-10 14:04:08 startup packages configure
2024-04-10 14:04:09 startup archives unpack
2024-04-10 14:04:09 upgrade base-passwd:amd64 3.5.52build1 3.5.52build1
2024-04-10 14:04:09 status half-configured base-passwd:amd64 3.5.52build1
2024-04-10 14:04:09 status unpacked base-passwd:amd64 3.5.52build1
2024-04-10 14:04:09 status half-installed base-passwd:amd64 3.5.52build1
2024-04-10 14:04:09 status unpacked base-passwd:amd64 3.5.52build1
2024-04-10 14:04:09 startup packages configure
2024-04-10 14:04:09 configure base-passwd:amd64 3.5.52build1 <none>
2024-04-10 14:04:09 status unpacked base-passwd:amd64 3.5.52build1
2024-04-10 14:04:09 status half-configured base-passwd:amd64 3.5.52build1
2024-04-10 14:04:09 status installed base-passwd:amd64 3.5.52build1
2024-04-10 14:04:10 startup packages configure
2024-04-10 14:04:11 startup archives unpack
2024-04-10 14:04:11 upgrade bash:amd64 5.1-6ubuntu1 5.1-6ubuntu1
2024-04-10 14:04:11 status half-configured bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:11 status unpacked bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:11 status half-installed bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:11 status unpacked bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:11 startup packages configure
2024-04-10 14:04:11 configure bash:amd64 5.1-6ubuntu1 <none>
2024-04-10 14:04:11 status unpacked bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:11 status half-configured bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:11 status installed bash:amd64 5.1-6ubuntu1
2024-04-10 14:04:12 startup packages configure
2024-04-10 14:04:13 startup archives unpack
2024-04-10 14:04:13 upgrade bsdutils:amd64 1:2.37.2-4ubuntu3 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 status half-configured bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 status half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 startup packages configure
2024-04-10 14:04:13 configure bsdutils:amd64 1:2.37.2-4ubuntu3 <none>
2024-04-10 14:04:13 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 status half-configured bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 status installed bsdutils:amd64 1:2.37.2-4ubuntu3
2024-04-10 14:04:13 startup packages configure
2024-04-10 14:04:15 startup archives unpack
2024-04-10 14:04:15 upgrade coreutils:amd64 8.32-4.1ubuntu1 8.32-4.1ubuntu1
2024-04-10 14:04:15 status half-configured coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 status half-installed coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 startup packages configure
2024-04-10 14:04:15 configure coreutils:amd64 8.32-4.1ubuntu1 <none>
2024-04-10 14:04:15 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 status half-configured coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 status installed coreutils:amd64 8.32-4.1ubuntu1
2024-04-10 14:04:15 startup packages configure
2024-04-10 14:04:17 startup archives unpack
2024-04-10 14:04:17 upgrade dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 status half-configured dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 status half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 startup packages configure
2024-04-10 14:04:17 configure dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1 <none>
2024-04-10 14:04:17 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 status half-configured dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 status installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2024-04-10 14:04:17 startup packages configure
2024-04-10 14:04:19 startup archives unpack
2024-04-10 14:04:19 upgrade debconf:all 1.5.79ubuntu1 1.5.79ubuntu1
2024-04-10 14:04:19 status half-configured debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 status unpacked debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 status half-installed debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 status unpacked debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 startup packages configure
2024-04-10 14:04:19 configure debconf:all 1.5.79ubuntu1 <none>
2024-04-10 14:04:19 status unpacked debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 status half-configured debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 status installed debconf:all 1.5.79ubuntu1
2024-04-10 14:04:19 startup packages configure
2024-04-10 14:04:21 startup archives unpack
2024-04-10 14:04:21 upgrade debianutils:amd64 5.5-1ubuntu2 5.5-1ubuntu2
2024-04-10 14:04:21 status half-configured debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 status unpacked debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 status half-installed debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 status unpacked debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 startup packages configure
2024-04-10 14:04:21 configure debianutils:amd64 5.5-1ubuntu2 <none>
2024-04-10 14:04:21 status unpacked debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 status half-configured debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 status installed debianutils:amd64 5.5-1ubuntu2
2024-04-10 14:04:21 startup packages configure
2024-04-10 14:04:22 startup archives unpack
2024-04-10 14:04:22 upgrade diffutils:amd64 1:3.8-0ubuntu2 1:3.8-0ubuntu2
2024-04-10 14:04:22 status half-configured diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:22 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:22 status half-installed diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:23 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:23 startup packages configure
2024-04-10 14:04:23 configure diffutils:amd64 1:3.8-0ubuntu2 <none>
2024-04-10 14:04:23 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:23 status half-configured diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:23 status installed diffutils:amd64 1:3.8-0ubuntu2
2024-04-10 14:04:23 startup packages configure
2024-04-10 14:04:24 startup archives unpack
2024-04-10 14:04:24 upgrade dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2024-04-10 14:04:24 status half-configured dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:24 status unpacked dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:24 status half-installed dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:25 status unpacked dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:25 startup packages configure
2024-04-10 14:04:25 configure dpkg:amd64 1.21.1ubuntu2 <none>
2024-04-10 14:04:25 status unpacked dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:25 status half-configured dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:25 status installed dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:04:25 startup packages configure
2024-04-10 14:04:26 startup archives unpack
2024-04-10 14:04:26 upgrade e2fsprogs:amd64 1.46.5-2ubuntu1 1.46.5-2ubuntu1
2024-04-10 14:04:26 status half-configured e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:26 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:26 status half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:26 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:27 startup packages configure
2024-04-10 14:04:27 configure e2fsprogs:amd64 1.46.5-2ubuntu1 <none>
2024-04-10 14:04:27 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:27 status half-configured e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:27 status installed e2fsprogs:amd64 1.46.5-2ubuntu1
2024-04-10 14:04:28 startup archives unpack
2024-04-10 14:04:28 upgrade findutils:amd64 4.8.0-1ubuntu3 4.8.0-1ubuntu3
2024-04-10 14:04:28 status half-configured findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:28 status unpacked findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:28 status half-installed findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:28 status unpacked findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:29 startup packages configure
2024-04-10 14:04:29 configure findutils:amd64 4.8.0-1ubuntu3 <none>
2024-04-10 14:04:29 status unpacked findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:29 status half-configured findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:29 status installed findutils:amd64 4.8.0-1ubuntu3
2024-04-10 14:04:29 startup packages configure
2024-04-10 14:04:30 startup archives unpack
2024-04-10 14:04:30 upgrade gcc-12-base:amd64 12-20220319-1ubuntu1 12-20220319-1ubuntu1
2024-04-10 14:04:30 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 status half-installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 startup packages configure
2024-04-10 14:04:30 configure gcc-12-base:amd64 12-20220319-1ubuntu1 <none>
2024-04-10 14:04:30 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 status installed gcc-12-base:amd64 12-20220319-1ubuntu1
2024-04-10 14:04:30 startup packages configure
2024-04-10 14:04:32 startup archives unpack
2024-04-10 14:04:32 upgrade gpgv:amd64 2.2.27-3ubuntu2 2.2.27-3ubuntu2
2024-04-10 14:04:32 status half-configured gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 status unpacked gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 status half-installed gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 status unpacked gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 startup packages configure
2024-04-10 14:04:32 configure gpgv:amd64 2.2.27-3ubuntu2 <none>
2024-04-10 14:04:32 status unpacked gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 status half-configured gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 status installed gpgv:amd64 2.2.27-3ubuntu2
2024-04-10 14:04:32 startup packages configure
2024-04-10 14:04:34 startup archives unpack
2024-04-10 14:04:34 upgrade grep:amd64 3.7-1build1 3.7-1build1
2024-04-10 14:04:34 status half-configured grep:amd64 3.7-1build1
2024-04-10 14:04:34 status unpacked grep:amd64 3.7-1build1
2024-04-10 14:04:34 status half-installed grep:amd64 3.7-1build1
2024-04-10 14:04:34 status unpacked grep:amd64 3.7-1build1
2024-04-10 14:04:34 startup packages configure
2024-04-10 14:04:34 configure grep:amd64 3.7-1build1 <none>
2024-04-10 14:04:34 status unpacked grep:amd64 3.7-1build1
2024-04-10 14:04:34 status half-configured grep:amd64 3.7-1build1
2024-04-10 14:04:34 status installed grep:amd64 3.7-1build1
2024-04-10 14:04:34 startup packages configure
2024-04-10 14:04:36 startup archives unpack
2024-04-10 14:04:36 upgrade gzip:amd64 1.10-4ubuntu4 1.10-4ubuntu4
2024-04-10 14:04:36 status half-configured gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 status unpacked gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 status half-installed gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 status unpacked gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 startup packages configure
2024-04-10 14:04:36 configure gzip:amd64 1.10-4ubuntu4 <none>
2024-04-10 14:04:36 status unpacked gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 status half-configured gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 status installed gzip:amd64 1.10-4ubuntu4
2024-04-10 14:04:36 startup packages configure
2024-04-10 14:04:37 startup archives unpack
2024-04-10 14:04:37 upgrade hostname:amd64 3.23ubuntu2 3.23ubuntu2
2024-04-10 14:04:37 status half-configured hostname:amd64 3.23ubuntu2
2024-04-10 14:04:37 status unpacked hostname:amd64 3.23ubuntu2
2024-04-10 14:04:37 status half-installed hostname:amd64 3.23ubuntu2
2024-04-10 14:04:37 status unpacked hostname:amd64 3.23ubuntu2
2024-04-10 14:04:38 startup packages configure
2024-04-10 14:04:38 configure hostname:amd64 3.23ubuntu2 <none>
2024-04-10 14:04:38 status unpacked hostname:amd64 3.23ubuntu2
2024-04-10 14:04:38 status half-configured hostname:amd64 3.23ubuntu2
2024-04-10 14:04:38 status installed hostname:amd64 3.23ubuntu2
2024-04-10 14:04:38 startup packages configure
2024-04-10 14:04:39 startup archives unpack
2024-04-10 14:04:39 upgrade init-system-helpers:all 1.62 1.62
2024-04-10 14:04:39 status half-configured init-system-helpers:all 1.62
2024-04-10 14:04:39 status unpacked init-system-helpers:all 1.62
2024-04-10 14:04:39 status half-installed init-system-helpers:all 1.62
2024-04-10 14:04:39 status unpacked init-system-helpers:all 1.62
2024-04-10 14:04:39 startup packages configure
2024-04-10 14:04:39 configure init-system-helpers:all 1.62 <none>
2024-04-10 14:04:39 status unpacked init-system-helpers:all 1.62
2024-04-10 14:04:39 status half-configured init-system-helpers:all 1.62
2024-04-10 14:04:39 status installed init-system-helpers:all 1.62
2024-04-10 14:04:40 startup packages configure
2024-04-10 14:04:41 startup archives unpack
2024-04-10 14:04:41 upgrade libacl1:amd64 2.3.1-1 2.3.1-1
2024-04-10 14:04:41 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:41 status half-configured libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 status unpacked libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 status half-installed libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 status unpacked libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 startup packages configure
2024-04-10 14:04:41 configure libacl1:amd64 2.3.1-1 <none>
2024-04-10 14:04:41 status unpacked libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 status half-configured libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 status installed libacl1:amd64 2.3.1-1
2024-04-10 14:04:41 startup packages configure
2024-04-10 14:04:41 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2024-04-10 14:04:41 status half-configured libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:41 status installed libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:43 startup archives unpack
2024-04-10 14:04:43 upgrade libapt-pkg6.0:amd64 2.4.5 2.4.5
2024-04-10 14:04:43 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:43 status half-configured libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 status unpacked libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 status half-installed libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 status unpacked libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 startup packages configure
2024-04-10 14:04:43 configure libapt-pkg6.0:amd64 2.4.5 <none>
2024-04-10 14:04:43 status unpacked libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 status half-configured libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 status installed libapt-pkg6.0:amd64 2.4.5
2024-04-10 14:04:43 startup packages configure
2024-04-10 14:04:43 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2024-04-10 14:04:43 status half-configured libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:43 status installed libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:45 startup archives unpack
2024-04-10 14:04:45 upgrade libattr1:amd64 1:2.5.1-1build1 1:2.5.1-1build1
2024-04-10 14:04:45 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:45 status half-configured libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 status unpacked libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 status half-installed libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 status unpacked libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 startup packages configure
2024-04-10 14:04:45 configure libattr1:amd64 1:2.5.1-1build1 <none>
2024-04-10 14:04:45 status unpacked libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 status half-configured libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 status installed libattr1:amd64 1:2.5.1-1build1
2024-04-10 14:04:45 startup packages configure
2024-04-10 14:04:45 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2024-04-10 14:04:45 status half-configured libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:45 status installed libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:47 startup archives unpack
2024-04-10 14:04:47 upgrade libaudit-common:all 1:3.0.7-1build1 1:3.0.7-1build1
2024-04-10 14:04:47 status half-configured libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 status half-installed libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 startup packages configure
2024-04-10 14:04:47 configure libaudit-common:all 1:3.0.7-1build1 <none>
2024-04-10 14:04:47 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 status half-configured libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 status installed libaudit-common:all 1:3.0.7-1build1
2024-04-10 14:04:47 startup packages configure
2024-04-10 14:04:48 startup archives unpack
2024-04-10 14:04:48 upgrade libaudit1:amd64 1:3.0.7-1build1 1:3.0.7-1build1
2024-04-10 14:04:48 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:48 status half-configured libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:48 status unpacked libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:48 status half-installed libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:48 status unpacked libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:49 startup packages configure
2024-04-10 14:04:49 configure libaudit1:amd64 1:3.0.7-1build1 <none>
2024-04-10 14:04:49 status unpacked libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:49 status half-configured libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:49 status installed libaudit1:amd64 1:3.0.7-1build1
2024-04-10 14:04:49 startup packages configure
2024-04-10 14:04:49 trigproc libc-bin:amd64 2.35-0ubuntu3 <none>
2024-04-10 14:04:49 status half-configured libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:49 status installed libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:50 startup archives unpack
2024-04-10 14:04:50 upgrade libblkid1:amd64 2.37.2-4ubuntu3 2.37.2-4ubuntu3
2024-04-10 14:04:50 status triggers-pending libc-bin:amd64 2.35-0ubuntu3
2024-04-10 14:04:50 status half-configured libblkid1:amd64 2.37.2-4ubuntu3
2024-04-10 14:04:50 status unpacked libblkid1:amd64 2.37.2-4ubuntu3
2024-04-10 14:04:50 status half-installed libblkid1:amd64 2.37.2-4ubuntu3
2024-04-10 14:04:50 status unpacked libblkid1:amd64 2.37.2-4ubuntu3
2024-04-10 14:04:50 startup packages configure
2024-04-10 14:04:50 configure libblkid1:amd64 2.37.2-4ubuntu3 <none>
2024-04-10 14:04:50 status unpacked libblkid1:amd64 2.37.2-4ubuntu3
